UG_COD,UG_COD_DESC,UF,REGIAO,FONTE_REGIONALIZACAO
90029,090029 - TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO,SP,Sudeste,LLM
90030,090030 - TRIBUNAL REGIONAL FEDERAL DA 4A.REGIAO,RS,Sul,LLM
90031,090031 - TRIBUNAL REGIONAL FEDERAL DA 5A.REGIAO,PE,Nordeste,LLM
90032,090032 - SECRETARIA DO T.R.F.DA 1A.REGIAO-ORCAMENTARIA,DF,Centro-Oeste,LLM
90033,090033 - TRIBUNAL REGIONAL FEDERAL DA 4A.REGIAO-ORCAM.,RS,Sul,LLM
90034,090034 - TRIBUNAL REGIONAL FEDERAL DA 2A.REGIAO-ORCAM.,SP,Sudeste,LLM
90035,090035 - TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO-ORCAM.,SP,Sudeste,LLM
90036,090036 - TRIBUNAL REGIONAL FEDERAL DA 5A.REGIAO-ORCAM.,PE,Nordeste,LLM
90037,090037 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AP,AP,Norte,LLM
90038,090038 - JUSTICA FEDERAL DE PRIMEIRO GRAU - TO,TO,Norte,LLM
90039,090039 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RR,RR,Norte,LLM
90047,090047 - TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO-PR.RPV,PR,Sul,LLM
90048,090048 - TRIBUNAL REGIONAL FEDERAL DA 2A. REG.-PR. RPV,SP,Sudeste,LLM
90049,090049 - TRIBUNAL REGIONAL FEDERAL DA 1A.REG.-PREC.RPV,DF,Centro-Oeste,LLM
90051,090051 - TRIBUNAL REGIONAL FEDERAL 4ª REGIAO-PREC/RPVS,RS,Sul,LLM
100001,100001 - TRIB.DE JUSTICA DO D.F. E DOS  TERRITORIOS,DF,Centro-Oeste,LLM
100009,100009 - VARA DA INFANCIA E DA JUVENTUDE DO D.F.,DF,Centro-Oeste,LLM
110001,110001 - SECRETARIA DE ADMINISTRACAO/PR,PR,Sul,LLM
110005,110005 - SECRETARIA DE ADMINISTRACAO/PR-SET.ORC.E FIN.,PR,Sul,LLM
110008,110008 - SECRETARIA EXECUTIVA-MPA,DF,Centro-Oeste,LLM
110060,110060 - COORDENACAO-GERAL DE ORC.E FINANCAS/SG/AGU,DF,Centro-Oeste,LLM
110062,110062 - DIRETORIA DE GESTÃO DE PESSOAS-DGEP/SGA/AGU,DF,Centro-Oeste,LLM
110096,110096 - SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO,PE,Nordeste,LLM
110097,110097 - SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL,RS,Sul,LLM
110099,110099 - SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO,SP,Sudeste,LLM
110101,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,DF,Centro-Oeste,LLM
110102,110102 - SUPERINTENDENCIA ADMINISTRACAO RIO DE JANEIRO,RJ,Sudeste,LLM
110120,110120 - AGENCIA BRASILEIRA DE INTELIGENCIA,DF,Centro-Oeste,LLM
110156,110156 - ESCOLA DA ADVOCACIA-GERAL DA UNIAO,DF,Centro-Oeste,LLM
110161,110161 - SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL,DF,Centro-Oeste,LLM
110174,110174 - DIRETORIA DE GESTAO INTERNA/SE/CGU,DF,Centro-Oeste,LLM
110175,110175 - COORD.-GERAL DE RECURSOS HUMANOS/DGI/SE/CGU,SE,Nordeste,LLM
110176,110176 - COORD.-GERAL DE REC. LOGISTICOS/DGI/SE/CGU,SE,Nordeste,LLM
110235,110235 - SECRETARIA NACIONAL DE JUVENTUDE,DF,Centro-Oeste,LLM
110244,110244 - FUNDO NACIONAL PARA A CRIANCA E O ADOLESCENTE,DF,Centro-Oeste,LLM
110245,110245 - FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.,DF,Centro-Oeste,LLM
110247,110247 - FUNDO DE IMPRENSA NACIONAL/COORD. REC. HUMAN.,DF,Centro-Oeste,LLM
110285,110285 - SEC. ADM/PR - REC EXT,PR,SUL,LLM
110309,110309 - SECRETARIA DE PORTOS/PR,PR,Sul,LLM
110319,110319 - SECRETARIA DE COMUNICACAO SOCIAL/PR,DF,Centro-Oeste,LLM
110322,110322 - GAB. DE SEG. INSTIT. DA PRES. DA REPUBLICA,DF,Centro-Oeste,LLM
110323,110323 - SECRETARIA DE PORTOS - OBRAS,DF,Centro-Oeste,LLM
110352,110352 - SECRETARIA GERAL/PR,DF,Centro-Oeste,LLM
110355,110355 - SECRETARIA DE ASSUNTOS ESTRATEGICOS-SAE/PR,PR,Sul,LLM
110382,110382 - SECRETARIA DO CONS.DE DESENV.ECON.E SOCIAL,RO,Norte,LLM
110402,110402 - ESCOLA SUPERIOR DE GUERRA,DF,Centro-Oeste,LLM
110404,110404 - DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DF,Centro-Oeste,LLM
110406,110406 - REPRESENT.DO BRASIL NA JUNTA INTERAM.DEFESA,DF,Centro-Oeste,LLM
110407,"110407 - DEPARTAMENTO DE PLANEJ, ORÇAMENTO E FINANÇAS",DF,Centro-Oeste,LLM
110511,110511 - CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA,AM,Norte,LLM
110562,110562 - SUBCHEFIA DE ASSUNTOS FEDERATIVOS/SRI/PR,PR,Sul,LLM
110563,110563 - SECRETARIA DE RELAÇOES INSTITUCIONAIS-SRI/PR,PR,Sul,LLM
110574,110574 - SECRETARIA DE IMPRENSA/SECOM/PR,DF,Centro-Oeste,LLM
110576,110576 - SPCI/ODP/RECURSOS EXTERNOS,DF,Centro-Oeste,LLM
110581,110581 - DIVISAO DE DIARIAS E PASSAGENS DA AGU,DF,Centro-Oeste,LLM
110590,110590 - SECRETARIA DE AVIAÇÃO CIVIL/PR,PR,Sul,LLM
110591,110591 - FUNDO NACIONAL DE AVIAÇÃO CIVIL,DF,Centro-Oeste,LLM
110594,110594 - DEPARTAMENTO DO PROGRAMA CALHA NORTE,AM,Norte,LLM
110595,110595 - FUNDO SOCIAL/FS,DF,Centro-Oeste,LLM
110614,110614 - SECRETARIA DE POLITICAS PARA MULHERES-REC.EXT,DF,Centro-Oeste,LLM
110619,110619 - PROG. FORTALEC. DA CAP. INST.P/ GES/REGULACAO,DF,Centro-Oeste,LLM
110620,110620 - COMISSÃO NACIONAL DA VERDADE/CNV,DF,Centro-Oeste,LLM
110629,110629 - PROG.FORTAL.PREV.COMB.CORRUP.GEST.PUBL.BRASIL,DF,Centro-Oeste,LLM
110680,110680 - SECRETARIA DE PORTOS/PR,PR,Sul,LLM
110681,110681 - SECRETARIA DE PORTOS - OBRAS,DF,Centro-Oeste,LLM
110999,110999 - DEORF - DIFERENCA CAMBIAL,DF,Centro-Oeste,LLM
111415,111415 - FUNDO DO MINISTERIO DA DEFESA,DF,Centro-Oeste,LLM
112408,112408 - HOSPITAL DAS FORCAS ARMADAS,DF,Centro-Oeste,LLM
113201,113201 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-SEDE,DF,Centro-Oeste,LLM
113202,113202 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,SP,Sudeste,LLM
113203,113203 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-IEN,RJ,Sudeste,LLM
113204,113204 - COMISSÃO NACIONAL DE ENERGIA NUCLEAR-IRD,DF,Centro-Oeste,LLM
113205,113205 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-CDTN,MG,Sudeste,LLM
113206,113206 - INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,MG,Sudeste,LLM
113207,113207 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-CO,DF,Centro-Oeste,LLM
113208,113208 - NUCLEBRAS EQUIPAMENTOS PESADOS S/A,RJ,Sudeste,LLM
113209,113209 - CNEN-ORÇAMENTO E FINANÇAS,DF,Centro-Oeste,LLM
113210,113210 - COMISSÃO NACIONAL DE ENERGIA NUCLEAR-LAPOC,DF,Centro-Oeste,LLM
113211,113211 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-NE,DF,Centro-Oeste,LLM
113214,113214 - AGENCIA NACIONAL DE AVIACAO CIVIL,DF,Centro-Oeste,LLM
113215,113215 - FUNDO AEROVIÁRIO - ANAC,DF,Centro-Oeste,LLM
113216,113216 - REPRESENTAÇÃO REGIONAL RIO DE JANEIRO - ANAC,RJ,Sudeste,LLM
113217,113217 - REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC,SP,Sudeste,LLM
113218,113218 - NÚCLEO REG. DE AVIAÇÃO CIVIL DE RECIFE,PE,Nordeste,LLM
113243,113243 - SUPERINT. INFRAESTRUTURA AEROPORTUÁRIA - ANAC,DF,Centro-Oeste,LLM
113245,113245 - SUPERINTENDÊNCIA DE GESTÃO DE PESSOAS - ANAC,DF,Centro-Oeste,LLM
113413,113413 - FUNDO DO SERVICO MILITAR,DF,Centro-Oeste,LLM
113601,113601 - INSTITUTO DE PESQUISA ECONOMICA APLICADA,DF,Centro-Oeste,LLM
113602,113602 - INSTITUTO DE PESQUISA ECONOMICA APLICADA,DF,Centro-Oeste,LLM
113605,113605 - CONTRATO DE EMPRÉSTIMO BID-1841/OC-BR,DF,Centro-Oeste,LLM
113801,113801 - DNOCS - CEST/PE - RECIFE-PE,PE,Nordeste,LLM
113802,113802 - DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS/UO,CE,Nordeste,LLM
114601,114601 - FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ,RJ,Sudeste,LLM
114602,114602 - UNIDADE ESTADUAL DO IBGE EM RONDONIA,RO,Norte,LLM
114603,114603 - UNIDADE ESTADUAL DO IBGE NO ACRE,AC,Norte,LLM
114604,114604 - UNIDADE ESTADUAL DO IBGE NO AMAZONAS,AM,Norte,LLM
114605,114605 - UNIDADE ESTADUAL DO IBGE EM RORAIMA,RR,Norte,LLM
114606,114606 - UNIDADE ESTADUAL DO IBGE NO PARA,PA,Norte,LLM
114607,114607 - UNIDADE ESTADUAL DO IBGE NO AMAPA,AP,Norte,LLM
114608,114608 - UNIDADE ESTADUAL DO IBGE NO MARANHÃO,MA,Norte,LLM
114609,114609 - UNIDADE ESTADUAL DO IBGE NO PIAUI,PI,Nordeste,LLM
114610,114610 - UNIDADE ESTADUAL DO IBGE NO CEARA,CE,Nordeste,LLM
114612,114612 - UNIDADE ESTADUAL DO IBGE NO RIO G. NORTE,RN,Nordeste,LLM
114613,114613 - UNIDADE ESTADUAL DO IBGE NA PARAIBA,PB,Nordeste,LLM
114614,114614 - UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO,PE,Nordeste,LLM
114615,114615 - UNIDADE ESTADUAL DO IBGE EM ALAGOAS,AL,Nordeste,LLM
114616,114616 - UNIDADE ESTADUAL DO IBGE EM SERGIPE,SE,Nordeste,LLM
114617,114617 - UNIDADE ESTADUAL DO IBGE NA BAHIA,BA,Nordeste,LLM
114618,114618 - UNIDADE ESTADUAL DO IBGE EM MINAS GERAIS,MG,Sudeste,LLM
114619,114619 - UNIDADE ESTADUAL DO IBGE NO ESPIRITO SANTO,ES,Sudeste,LLM
114620,114620 - UNIDADE ESTADUAL DO IBGE NO MATO GROSSO SUL,MS,Centro-Oeste,LLM
114621,114621 - COORDENACAO DE RECURSOS DE MATERIAIS,DF,Centro-Oeste,LLM
114622,114622 - UNIDADE ESTADUAL DO IBGE EM SAO PAULO,SP,Sudeste,LLM
114623,114623 - UNIDADE ESTADUAL DO IBGE NO PARANA,PR,Sul,LLM
114624,114624 - UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA,SC,Sul,LLM
114625,114625 - UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL,RS,Sul,LLM
114626,114626 - UNIDADE ESTADUAL DO IBGE NO MATO GROSSO,MT,Centro-Oeste,LLM
114627,114627 - UNIDADE ESTADUAL DO IBGE EM GOIAS,GO,Centro-Oeste,LLM
114629,114629 - UNIDADE ESTADUAL DO IBGE NO DISTRITO FEDERAL,DF,Centro-Oeste,LLM
114631,114631 - UNIDADE ESTADUAL DO IBGE NO RIO DE JANEIRO,RJ,Sudeste,LLM
114634,114634 - DIRETORIA DE INFORMATICA/IBGE,DF,Centro-Oeste,LLM
114635,114635 - DIRETORIA DE PESQUISA/IBGE,DF,Centro-Oeste,LLM
114636,114636 - DIRETORIA DE GEOCIENCIAS/IBGE,DF,Centro-Oeste,LLM
114637,114637 - CENTRO DOC. E DISSEMINACAO DA INFORMACAO/IBGE,DF,Centro-Oeste,LLM
114639,114639 - UNIDADE ESTADUAL DO IBGE EM TOCANTINS,TO,Norte,LLM
114702,114702 - FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,DF,Centro-Oeste,LLM
115406,115406 - EMPRESA BRASIL DE COMUNICACAO S.A,DF,Centro-Oeste,LLM
120001,120001 - GABINETE DO COMANDANTE DA AERONAUTICA,DF,Centro-Oeste,LLM
120002,120002 - SECRETARIA DE ECON. E FINANCAS DA AERONAUTICA,DF,Centro-Oeste,LLM
120003,120003 - VI COMANDO AEREO REGIONAL,SP,Sudeste,LLM
120004,120004 - BASE AEREA DE BRASILIA,DF,Centro-Oeste,LLM
120005,120005 - PREFEITURA DE AERONAUTICA DE BRASILIA,DF,Centro-Oeste,LLM
120006,120006 - GRUPAMENTO DE APOIO DE BRASILIA,DF,Centro-Oeste,LLM
120008,120008 - PRIMEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,DF,Centro-Oeste,LLM
120013,120013 - CENTRO DE LANCAMENTO DE ALCANTARA,MA,Norte,LLM
120014,120014 - BASE AEREA DE FORTALEZA,CE,Nordeste,LLM
120015,120015 - CENTRO DE LANCAMENTO DA BARREIRA DO INFERNO,RN,Nordeste,LLM
120016,120016 - GRUPAMENTO DE INFRA-EST E APOIO DE S J CAMPOS,SP,Sudeste,LLM
120017,120017 - II COMANDO AEREO REGIONAL,SP,Sudeste,LLM
