UG_COD,UG_DESC,UF,REGIÃO,REGIAO,FONTE_REGIONALIZACAO
120054,UNIVERSIDADE DA FORCA AEREA,DF,,Centro-Oeste,LLM
120057,CASA GERONTOLOGICA DA AER. BRIG.EDUARDO GOMES,DF,,Centro-Oeste,LLM
120059,IV COMANDO AEREO REGIONAL,SP,,Sudeste,LLM
120060,ACADEMIA DA FORCA AEREA,RJ,,Sudeste,LLM
120064,ESCOLA DE ESPECIALISTAS DE AERONAUTICA,RJ,,Sudeste,LLM
120065,FAZENDA DE AERONAUTICA DE PIRASSUNUNGA,SP,,Sudeste,LLM
120066,NÚCLEO DO HOSPITAL DE AERONÁUTICA DE SÃO PAUL,SP,,Sudeste,LLM
120067,INSTITUTO DE CONTROLE DO ESPACO AEREO,DF,,Centro-Oeste,LLM
120071,CENTRO LOGISTICO DA AERONAUTICA,DF,,Centro-Oeste,LLM
120072,SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,DF,,Centro-Oeste,LLM
120073,BASE AEREA DE FLORIANOPOLIS,SC,,Sul,LLM
120074,V COMANDO AEREO REGIONAL,DF,,Centro-Oeste,LLM
120075,BASE AEREA DE CANOAS,RS,,Sul,LLM
120076,BASE AEREA DE SANTA MARIA,RS,,Sul,LLM
120080,BASE AEREA DE ANAPOLIS,GO,,Centro-Oeste,LLM
120081,BASE AEREA DE PORTO VELHO,RO,,Norte,LLM
120082,BASE AEREA DE MANAUS,AM,,Norte,LLM
120083,VII COMANDO AEREO REGIONAL,SP,,Sudeste,LLM
120085,BASE AEREA DE  BOA VISTA,RR,,Norte,LLM
120086,I COMANDO AEREO REGIONAL,DF,,Centro-Oeste,LLM
120094,QUARTO CENTRO INT. DEF. AEREA CONTR.TFG.AEREO,DF,,Centro-Oeste,LLM
120096,HOSPITAL DE FORCA AEREA DE BRASILIA,DF,,Centro-Oeste,LLM
120100,SUBDIRETORIA DE ABASTECIMENTO,DF,,Centro-Oeste,LLM
120101,BASE AEREA DE NATAL,RN,,Nordeste,LLM
120127,COMISSAO DE IMPLANT.DO SIST.DE CONTR.DO E AER,DF,,Centro-Oeste,LLM
120195,GRUPAMENTO DE APOIO LOGÍSTICO,DF,,Centro-Oeste,LLM
120196,GRUPAMENTO DE APOIO DA SAÚDE,DF,,Centro-Oeste,LLM
123001,CAIXA DE FINANCIAMENTO IMOBIL. DA AERONAUTICA,DF,,Centro-Oeste,LLM
130005,COORD.-GERAL DE EXECUCAO FINANCEIRA/SPOA/MAPA,DF,,Centro-Oeste,LLM
130010,COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/DF,DF,,Centro-Oeste,LLM
130011,INSTITUTO NACIONAL DE METEOROLOGIA,DF,,Centro-Oeste,LLM
133007,UNIDADE AVANCADA CONJUNTO PEIXOTO DE AZEVEDO,MT,,Centro-Oeste,LLM
133081,UNIDADE AVANCADA DE TUCURUI,PA,,Norte,LLM
133082,UNIDADE AVANCADA DE SAO GERALDO DO ARAGUAIA,PA,,Norte,LLM
133083,UNIDADE AVANCADA DE CONCEICAO DO ARAGUAIA,PA,,Norte,LLM
135000,UA/RUSSAS,CE,,Nordeste,LLM
135003,MINISTERIO DO DESENVOLVIMENTO AGRARIO - CEF,DF,,Centro-Oeste,LLM
135004,EMBRAPA/AGROENERGIA,SP,,Sudeste,LLM
135006,EMBRAPA/CPATU,BA,,Nordeste,LLM
135007,EMBRAPA/CNPASA,PA,,Norte,LLM
135009,EMBRAPA/CPAMN,PA,,Norte,LLM
135010,EMBRAPA/CNPC,DF,,Centro-Oeste,LLM
135011,EMBRAPA/CNPA,DF,,Centro-Oeste,LLM
135012,EMBRAPA/CPATSA,DF,,Centro-Oeste,LLM
135013,EMBRAPA/CPATC,DF,,Centro-Oeste,LLM
135014,EMBRAPA/CNPMF,DF,,Centro-Oeste,LLM
135015,EMBRAPA/CNPGL,MT,,Centro-Oeste,LLM
135016,EMBRAPA/CNPMS,MS,,Centro-Oeste,LLM
135017,EMBRAPA/CNPGC,DF,,Centro-Oeste,LLM
135018,EMBRAPA/CPAP,DF,,Centro-Oeste,LLM
135019,EMBRAPA/CPAO,BA,,Nordeste,LLM
135020,EMBRAPA/CTAA,BA,,Nordeste,LLM
135021,EMBRAPA/CNPS,DF,,Centro-Oeste,LLM
135022,EMBRAPA/CPAMT,MT,,Centro-Oeste,LLM
135023,EMBRAPA/CNPAB,DF,,Centro-Oeste,LLM
135024,EMBRAPA/CPPSE,BA,,Nordeste,LLM
135025,EMBRAPA/CNPMA,MG,,Sudeste,LLM
135026,EMBRAPA/CNPDIA,DF,,Centro-Oeste,LLM
135027,EMBRAPA/CNPTIA,DF,,Centro-Oeste,LLM
135028,EMBRAPA/CNPF,DF,,Centro-Oeste,LLM
135029,EMBRAPA/CNPSO,DF,,Centro-Oeste,LLM
135030,EMBRAPA/CNPSA,DF,,Centro-Oeste,LLM
135031,EMBRAPA/CPACT,DF,,Centro-Oeste,LLM
135032,EMBRAPA/CNPT,DF,,Centro-Oeste,LLM
135033,EMBRAPA/CNPUV,DF,,Centro-Oeste,LLM
135035,EMBRAPA/CPPSUL,RS,,Sul,LLM
135036,EMBRAPA/CNPAF,DF,,Centro-Oeste,LLM
135038,EMBRAPA/CENARGEN,DF,,Centro-Oeste,LLM
135039,EMBRAPA/CPAC,DF,,Centro-Oeste,LLM
135040,EMBRAPA/CNPH,DF,,Centro-Oeste,LLM
135041,EMBRAPA/SPM,DF,,Centro-Oeste,LLM
135042,EMBRAPA/UEP/RECIFE,PE,,Nordeste,LLM
135046,EMBRAPA/DAF-CAF,DF,,Centro-Oeste,LLM
135048,EMBRAPA/CNPAT,DF,,Centro-Oeste,LLM
135049,EMBRAPA/CPAA,BA,,Nordeste,LLM
135050,EMBRAPA/CNPM,DF,,Centro-Oeste,LLM
135066,EMBRAPA/SPM- ESCRITORIO DE CANOINHAS,SC,,Sul,LLM
135067,EMBRAPA/SPM- ESCRITORIO PONTA GROSSA,PR,,Sul,LLM
135070,EMBRAPA/SPM- ESCRITORIO DE DOURADOS,MS,,Centro-Oeste,LLM
135073,EMBRAPA/SPM - ESCRITORIO DE SETE LAGOAS,MG,,Sudeste,LLM
135077,EMBRAPA/SPM - ESCRITORIO DE PETROLINA,PE,,Nordeste,LLM
135081,EMBRAPA/SCT,DF,,Centro-Oeste,LLM
135082,EMBRAPA/CPACP,DF,,Centro-Oeste,LLM
135084,EMBRAPA/QUARENTENA VEGETAL,DF,,Centro-Oeste,LLM
135091,EMBRAPA/GESTAO TERRITORIAL,DF,,Centro-Oeste,LLM
135096,EMBRAPA/SPM-ESCRITORIO DO TRIANGULO MINEIRO,MG,,Sudeste,LLM
135097,EMBRAPA CAFE,MG,,Sudeste,LLM
135098,CAIXA ECONOMICA FEDERAL/MA,MA,,Norte,LLM
135100,COMPANHIA NACIONAL DE ABASTECIMENTO,DF,,Centro-Oeste,LLM
135103,UA/ITABERABA,BA,,Nordeste,LLM
135114,UNID.CENT.IRECE,BA,,Nordeste,LLM
135118,UA/MARACANAU,CE,,Nordeste,LLM
135119,UA/NATAL,RN,,Nordeste,LLM
135130,UA/JUAZEIRO DO NORTE,CE,,Nordeste,LLM
135131,UA/SOBRAL,CE,,Nordeste,LLM
135136,COMPANHIA NAC. DE ABASTECIMENTO - UA/CACOAL,RO,,Norte,LLM
135138,UA/MOSSORO,RN,,Nordeste,LLM
135147,UA/PONTALINA,GO,,Centro-Oeste,LLM
135148,UA/RIO VERDE,GO,,Centro-Oeste,LLM
135149,UA/S.L.MONTES BELO,MG,,Sudeste,LLM
135161,UNIDADE CENTRAL DE ITAPURANGA,TO,,Norte,LLM
135173,UNIDADE ARMAZENADORA DE ITAQUI,MA,,Norte,LLM
135174,UA/IMPERATRIZ,MA,,Norte,LLM
135178,UA/TERESINA,PI,,Nordeste,LLM
135179,UA/PICOS,PI,,Nordeste,LLM
135185,UA/UBERABA,MG,,Sudeste,LLM
135186,UA/UBERLANDIA,MG,,Sudeste,LLM
135217,UA/FLORIANO,PI,,Nordeste,LLM
135219,UA/PORTO VELHO,RO,,Norte,LLM
135220,UA/VILHENA,RO,,Norte,LLM
135229,UA/RIO BRANCO,AC,,Norte,LLM
135245,UA/ANANINDEUA,PA,,Norte,LLM
135246,UA/MANAUS,AM,,Norte,LLM
135270,UA/PONTA GROSSA I,PR,,Sul,LLM
135271,UA/APUCARANA,PR,,Sul,LLM
135288,UA/JOAO PESSOA,PB,,Nordeste,LLM
135289,UA/CAMPINA GRANDE,PB,,Nordeste,LLM
135294,UA/MACEIO,AL,,Nordeste,LLM
135298,UA/ARCOVERDE,PE,,Nordeste,LLM
135304,UA/RECIFE,PE,,Nordeste,LLM
135308,UA/LIRA TAVARES,BA,,Nordeste,LLM
135318,UF/AUG.A.LEITAO,MA,,Norte,LLM
135329,UA/SENADOR POMPEU,CE,,Nordeste,LLM
135340,UA/ARAGUAINA,TO,,Norte,LLM
135345,CONAB SEDE/SUREG PI,PI,,Nordeste,LLM
135393,UA/SANTAREM,PA,,Norte,LLM
135396,UA/ROLANDIA,PR,,Sul,LLM
135416,UA ITABAIANA,SE,,Nordeste,LLM
135417,UA RIO FORMOSO,PE,,Nordeste,LLM
135458,CONAB SEDE SUREG ES,ES,,Sudeste,LLM
135460,UNIDADE ARMAZENADORA DE SAO LUIS,MA,,Norte,LLM
135462,UA/PARNAIBA,PI,,Nordeste,LLM
135465,UNIDADE ARMAZENADORA COLATINA,ES,,Sudeste,LLM
135481,UNIDADE ARMAZENADORA CAMBURI,ES,,Sudeste,LLM
135494,UA/MONTES CLAROS,MG,,Sudeste,LLM
135532,UA/MARABA,PA,,Norte,LLM
135534,UNIDADE ARMAZENADORA ASSU,RN,,Nordeste,LLM
135552,UA/CRATEUS,CE,,Nordeste,LLM
135557,UNIDADE ARMAZENADORA BOA VISTA,RR,,Norte,LLM
135564,UNIDADE ARMAZENADORA DE ENTRE RIOS,BA,,Nordeste,LLM
135565,UNIDADE ARMAZENADORA RIBEIRA DO POMBAL,BA,,Nordeste,LLM
135567,UNIDADE ARMAZENADORA CURRAIS NOVOS,RN,,Nordeste,LLM
135568,UNIDADE ARMAZENADORA NATAL-CAIAPOS,RN,,Nordeste,LLM
135585,UNIDADE ARMAZENADORA DE STA MARIA DA VITORIA,BA,,Nordeste,LLM
135607,UNIDADE ARMAZENADORA DE PATOS,PB,,Nordeste,LLM
135608,UNIDADE ARMAZENADORA DE MONTEIRO,PB,,Nordeste,LLM
135610,UNIDADE ARMAZENADORA PALMEIRA DOS INDIOS,AL,,Nordeste,LLM
135611,UNIDADE ARMAZENADORA DE CAICO,RN,,Nordeste,LLM
135612,UNIDADE ARMAZENADORA ICO,PI,,Nordeste,LLM
138011,UA SAO JOSE,SP,,Sudeste,LLM
150002,SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC,DF,,Centro-Oeste,LLM
150011,SECRETARIA DE EDUCACAO SUPERIOR,DF,,Centro-Oeste,LLM
150119,CENTRO ACADEMICO DO AGRESTE DA UFPE,PE,,Nordeste,LLM
150123,COORD. DE PROJ. C/A FUND. DE APOIO,DF,,Centro-Oeste,LLM
150134,CENTRO ACADEMICO VITORIA DE SANTO ANTAO-UFPE,PE,,Nordeste,LLM
150148,UTFPR - CAMPUS LONDRINA,PR,,Sul,LLM
150149,UTFPR - CAMPUS APUCARANA,PR,,Sul,LLM
150150,UTFPR - CAMPUS TOLEDO,PR,,Sul,LLM
150151,UTFPR- CAMPUS FRANCISCO BELTRAO,PR,,Sul,LLM
150154,CENTRO DE EDUCACAO E SAUDE DA UFCG,PB,,Nordeste,LLM
150182,PRO-REITORIA DE ADMINISTRACAO/UFF,RJ,,Sudeste,LLM
150218,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,RS,,Sul,LLM
150220,HOSPITAL UNIVERSITÁRIO BETTINA FERRO DE SOUZA,SP,,Sudeste,LLM
150221,HOSPITAL DE CLÍNICAS DA UFTM,MG,,Sudeste,LLM
150223,MATERNIDADE CLIMERIO DE OLIVEIRA,BA,,Nordeste,LLM
150224,HOSPITAL UNIVERSITARIO GETULIO VARGAS,RS,,Sul,LLM
150229,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,AL,,Nordeste,LLM
150230,PRO-REITORIA DE ASSUNTOS ESTUDANTIS - PROAES,DF,,Centro-Oeste,LLM
150231,HOSPITAL UNIVERSITARIO,DF,,Centro-Oeste,LLM
150232,HOSPITAL UNIVERSITARIO - UFSC,SC,,Sul,LLM
150233,HOSPITAL DE CLINICAS DA UFU,MG,,Sudeste,LLM
150244,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,CE,,Nordeste,LLM
150246,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,PR,,Sul,LLM
150248,HOSPITAL UNIVERSITARIO (HU/UFGD),MS,,Centro-Oeste,LLM
151878,INST. FED.SUL-RIO-GRANDENSE/CAMPUS CAMAQUA,RS,,Sul,LLM
151879,INST.FED.SUL-RIO-GRANDENSE/CAMPUS BAGE,RS,,Sul,LLM
151889,IF BAIANO CAMPUS BOM JESUS DA LAPA,BA,,Nordeste,LLM
151895,IFSUL/CAMPUS VISCONDE DA GRAÇA/PELOTAS,RS,,Sul,LLM
151916,DEPTO DE ANTROPOLOGIA E MUSEOLOGIA,MG,,Sudeste,LLM
151917,DEPARTAMENTO DE ARQUEOLOGIA,DF,,Centro-Oeste,LLM
151963,DEPTO DE HOTELARIA E TURISMO-DHT,DF,,Centro-Oeste,LLM
151964,IFSUL/CAMPUS VENANCIO AIRES,RS,,Sul,LLM
152004,INSTITUTO BENJAMIN CONSTANT-RJ,RJ,,Sudeste,LLM
152005,INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ,RJ,,Sudeste,LLM
152134,UTFPR - CAMPUS GUARAPUAVA,PR,,Sul,LLM
152253,IF CATARINENSE - CAMPUS IBIRAMA,SC,,Sul,LLM
152254,IF CATARINENSE - CAMPUS BLUMENAU,SC,,Sul,LLM
152290,IF CATARINENSE - CAMPUS S. FRANCISCO DO SUL,SC,,Sul,LLM
152370,CENTRO DE APOIO A EDUCACAO A DISTANCIA/UFMG,MG,,Sudeste,LLM
152477,UNIFESP-HOSP. UNIVERSITARIO,SP,,Sudeste,LLM
152663,IF CATARINENSE - CAMPUS LUZERNA,SC,,Sul,LLM
152711,INST. FED. DO RN / CAMPUS NATAL - CIDADE ALTA,RN,,Nordeste,LLM
152756,INST. FED. DO RN / CAMPUS PARNAMIRIM,RN,,Nordeste,LLM
152757,INSTITUTO FEDERAL DO RN - CAMPUS NOVA CRUZ,RN,,Nordeste,LLM
152771,SUPERINTENDENCIA DE SEGURANCA INSTITUCIONAL,DF,,Centro-Oeste,LLM
153001,SUBCOORD.DA UNID.AVANC.J.VERISSIMO,PA,,Norte,LLM
153010,CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA,RJ,,Sudeste,LLM
153028,UNIVERSIDADE FEDERAL DE ALFENAS,MG,,Sudeste,LLM
153029,UTFPR - CAMPUS MEDIANEIRA,PR,,Sul,LLM
153030,UNIVERSIDADE FEDERAL DE ITAJUBA,MG,,Sudeste,LLM
153032,UNIVERSIDADE FEDERAL DE LAVRAS,MG,,Sudeste,LLM
153033,UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN,RN,,Nordeste,LLM
153034,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,PA,,Norte,LLM
153035,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,MG,,Sudeste,LLM
153036,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,MG,,Sudeste,LLM
153040,HOSPITAL PROF. EDGARD SANTOS DA UFBA,BA,,Nordeste,LLM
153047,HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,ES,,Sudeste,LLM
153050,CENTRO DE CIENCIAS AGRARIAS DA UFES,ES,,Sudeste,LLM
153054,HOSPITAL DAS CLINICAS DA UFGO,GO,,Centro-Oeste,LLM
153056,UNIVERSIDADE FEDERAL FLUMINENSE,RJ,,Sudeste,LLM
153057,HOSPITAL UNIVERSITARIO ANTONIO PEDRO,RJ,,Sudeste,LLM
153058,PRO-REITORIA DE ASSUNTOS ESTUDANTIS,DF,,Centro-Oeste,LLM
153061,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,MG,,Sudeste,LLM
153066,PREFEITURA UNIVERSITARIA DA UFPB,PB,,Nordeste,LLM
153067,PRO-REITORIA DE POS-GRADUACAO E PESQ.DA UFPB,PB,,Nordeste,LLM
153068,CENTRO DE CIENC.EXATAS E DA NATUREZA DA UFPB,PB,,Nordeste,LLM
153070,BIBLIOTECA CENTRAL DA UFPB,PB,,Nordeste,LLM
153071,HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,PB,,Nordeste,LLM
153073,CENTRO DE CIENCIAS AGRARIAS DA UFPB,PB,,Nordeste,LLM
153074,CENTRO DE CIENC.HUMA. SOC. E AGRARIAS DA UFPB,PB,,Nordeste,LLM
153081,DIRET.DO CENTRO DE ARTES E COMUNICACAO- UFPE,PE,,Nordeste,LLM
153082,DIRET.DO CENTRO DE CIENC.EXATAS E NAT.DA UFPE,PE,,Nordeste,LLM
153083,DIRET.DO CENTRO DE CIENCIAS BIOLOGICAS- UFPE,PE,,Nordeste,LLM
153084,DIRET.CENTRO DE FILOSOFIA E C.HUMANAS - UFPE,PE,,Nordeste,LLM
153085,DIRET.DO CENTRO DE EDUCACAO DA UFPE,PE,,Nordeste,LLM
153086,DIRET.CENTRO DE CIENCIAS SOC.APLICADAS- UFPE,PE,,Nordeste,LLM
153087,DIRET.DO CENTRO DE CIENCIAS DA SAUDE DA UFPE,PE,,Nordeste,LLM
153088,DIRET.DO CENTRO DE TECNOLOGIA DA UFPE,PE,,Nordeste,LLM
153089,DIRET.DO CENTRO DE CIENCIAS JURIDICAS - UFPE,PE,,Nordeste,LLM
153090,PRO-REITORIA DE EXTENSAO,DF,,Centro-Oeste,LLM
153091,ESCRITORIO PROJETOS INSTITUCIONAIS - EPI,DF,,Centro-Oeste,LLM
153092,BIBLIOTECA CENTRAL DA UFPE,PE,,Nordeste,LLM
153093,EDITORA UNIVERSITARIA DA UFPE,PE,,Nordeste,LLM
153094,HOSPITAL DAS CLINICAS - UFPE,PE,,Nordeste,LLM
153095,PREFEITURA DA CIDADE UNIVERSITARIA DA UFPE,PE,,Nordeste,LLM
153096,PRO-REITORIA P/ASSUNTOS ACADEMICOS DA UFPE,PE,,Nordeste,LLM
153098,PRO-REITORIA DE PESQ. E POS-GRADUACAO DA UFPE,PE,,Nordeste,LLM
153100,NUCLEO DE EDUCACAO FISICA E DESPORTOS DA UFPE,PE,,Nordeste,LLM
153101,NUCLEO DE TECNOLOG. DA INFORMACAO DA UFPE-NTI,PE,,Nordeste,LLM
153102,NUCLEO DE TELEVISAO E RADIO DA UFPE,PE,,Nordeste,LLM
153104,HOSPITAL UNIVERSITARIO ANA BEZERRA,RN,,Nordeste,LLM
153105,GABINETE DO REITOR DA UFPE-GR,PE,,Nordeste,LLM
153107,CENTRO DE CIENCIAS DA SAUDE DA UFRN,RN,,Nordeste,LLM
153108,HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,RN,,Nordeste,LLM
153109,CENTRO DE BIOCIENCIAS DA UFRN,RN,,Nordeste,LLM
153110,MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,RN,,Nordeste,LLM
153113,CENTRO DE CIENCIAS SOCIAIS APLICADAS DA UFRN,RN,,Nordeste,LLM
153117,SUPERINT.GERAL DE ENS.P/GRAD.E PESQ. DA UFRJ,RJ,,Sudeste,LLM
153119,PREFEITURA DA UNIVERSIDADE DA UFRJ,RJ,,Sudeste,LLM
153120,CENTRO CIENC MATEMAT E DA NATUREZA DA UFRJ,RJ,,Sudeste,LLM
153121,INSTITUTO DE MATEMATICA DA UFRJ,RJ,,Sudeste,LLM
153122,INSTITUTO DE QUIMICA DA UFRJ,RJ,,Sudeste,LLM
153123,INSTITUTO DE FISICA DA UFRJ,RJ,,Sudeste,LLM
153124,INSTITUTO DE GEOCIENCIAS DA UFRJ,RJ,,Sudeste,LLM
153125,NUCLEO DE COMPUTACAO ELETRONICA DA UFRJ,RJ,,Sudeste,LLM
153126,OBSERVATORIO DO VALONGO DA UFRJ,RJ,,Sudeste,LLM
153127,DECANATO DO CENTRO DE LETRAS E ARTES DA UFRJ,RJ,,Sudeste,LLM
153128,DECANATO DO CENT DE FILOSOF. E C HUM. DA UFRJ,RJ,,Sudeste,LLM
153129,INSTITUTO DE FILOSOF/CIENCIAS SOCIAIS DA UFRJ,RJ,,Sudeste,LLM
153130,INSTITUTO DE PSICOLOGIA DA UFRJ,RJ,,Sudeste,LLM
153131,FACULDADE DE EDUCACAO DA UFRJ,RJ,,Sudeste,LLM
153132,DECANATO DO CENTRO DE C JUR E ECONOM. DA UFRJ,RJ,,Sudeste,LLM
153133,FACULDADE DE ADMINIST E CIENCIAS CONTABEIS,SP,,Sudeste,LLM
153137,DECANATO DO CENTRO DE CIENC.DA SAUDE DA UFRJ,RJ,,Sudeste,LLM
153138,FACULDADE DE MEDICINA DA UFRJ,RJ,,Sudeste,LLM
153139,FACULDADE DE ODONTOLOGIA DA UFRJ,RJ,,Sudeste,LLM
153140,FACULDADE DE FARMACIA DA UFRJ,RJ,,Sudeste,LLM
153141,ESCOLA DE ENFERMAGEM ANA NERI DA UFRJ,RJ,,Sudeste,LLM
153142,INSTITUTO DE CIENCIAS BIOMEDICAS DA UFRJ,RJ,,Sudeste,LLM
153143,INSTITUTO DE MICROBIOLOGIA DA UFRJ,RJ,,Sudeste,LLM
153144,INSTITUTO DE NUTRICAO JOSUE DE CASTRO,RJ,,Sudeste,LLM
153145,INSTITUTO DE BIOFISICA DA UFRJ,RJ,,Sudeste,LLM
153146,NUCLEO DE PESQUISA DE PROD. NATURAIS DA UFRJ,RJ,,Sudeste,LLM
153147,INSTITUTO DE GINECOLOGIA DA UFRJ,RJ,,Sudeste,LLM
153148,INSTITUTO DE NEUROL. DEOLINDO COUTO DA UFRJ,RJ,,Sudeste,LLM
153149,INSTITUTO DE PSIQUIATRIA DA UFRJ,RJ,,Sudeste,LLM
153150,INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,RJ,,Sudeste,LLM
153151,INSTITUTO DE DOENCAS DO TORAX DA UFRJ,RJ,,Sudeste,LLM
153152,HOSPITAL UNIVERSITARIO DA UFRJ,RJ,,Sudeste,LLM
153153,ESCOLA DE EDUCACAO FISICA E DESPORTES DA UFRJ,RJ,,Sudeste,LLM
153154,INSTITUTO DE BIOLOGIA DA UFRJ,RJ,,Sudeste,LLM
153155,MATERNIDADE ESCOLA DA UFRJ,RJ,,Sudeste,LLM
153156,NUCLEO DE TECNOL. EDUCACIONAL P/SAUDE DA UFRJ,RJ,,Sudeste,LLM
153157,DECANATO DO CENTRO DE TECNOLOGIA DA UFRJ,RJ,,Sudeste,LLM
153158,ESCOLA POLITECNICA DA UFRJ,RJ,,Sudeste,LLM
153159,ESCOLA DE QUIMICA DA UFRJ,RJ,,Sudeste,LLM
153160,COORD DOS PROG DE POS-GRAD EM ENGEN DA UFRJ,RJ,,Sudeste,LLM
153161,FORUM DE CIENCIA E CULTURA DA UFRJ,RJ,,Sudeste,LLM
153162,MUSEU NACIONAL DA UFRJ,RJ,,Sudeste,LLM
153164,UNIVERSIDADE FEDERAL DE SANTA MARIA,RS,,Sul,LLM
153167,COLEGIO PEDRO II,RJ,,Sudeste,LLM
153173,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,DF,,Centro-Oeste,LLM
153176,UTFPR - CAMPUS CORNELIO PROCOPIO,PR,,Sul,LLM
153177,UTFPR - CAMPUS PATO BRANCO,PR,,Sul,LLM
153178,UTFPR - CAMPUS PONTA GROSSA,PR,,Sul,LLM
153248,PRO-REIT.DE PESQ.E POS-GRAD. E INOVAÇAO,DF,,Centro-Oeste,LLM
153251,UTFPR - CAMPUS CAMPO MOURAO,PR,,Sul,LLM
153252,HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,CE,,Nordeste,LLM
153253,CENTRO DE CIENCIAS HUM.E LETRAS ARTES DA UFRN,RN,,Nordeste,LLM
153254,ADMINISTRACAO GERAL/UFMG,MG,,Sudeste,LLM
153255,BIBLIOTECA UNIVERSITARIA/UFMG,MG,,Sudeste,LLM
153256,EDITORA DA UFMG,MG,,Sudeste,LLM
153257,CENTRO DE COMUNICACAO DA UFMG,MG,,Sudeste,LLM
153258,CENTRO COMPUTACAO/UFMG,MG,,Sudeste,LLM
153261,HOSPITAL CLINICAS/UFMG,MG,,Sudeste,LLM
153262,IMPRENSA UNIVERSITARIA/UFMG,MG,,Sudeste,LLM
153263,LABORATORIO DE COMPUTACAO CIENTIFICA/UFMG,MG,,Sudeste,LLM
153264,MUSEU HISTORICO NATURAL/UFMG,MG,,Sudeste,LLM
153265,DEPARTAMENTO DE OBRAS/UFMG,MG,,Sudeste,LLM
153267,DEPARTAMENTO MANUT. OPER.INFRA-ESTRUTURA/UFMG,MG,,Sudeste,LLM
